Brand,Title,Price_special,Price_regular
Aflubin,"AFLUBIN, geriamieji lašai, tirpalas, 50 ml",N/A,11.11
Isla,"ISLA - MINT, 30 minkštųjų pastilių",N/A,7.11
Miramile,"MIRAMILE, miško uogų skonio pastilės, 12 pastilių",N/A,3.49
Gripex,"GRIPEX THERMAL, 1000/100/12,2 mg, milteliai geriamajam tirpalui, N8",N/A,6.95
Otosan,"OTOSAN FORTE, gerklės purškalas, 30 ml",6.91,8.64
Flavamed,"FLAVAMED, 30 mg, tabletės, N20",N/A,3.09
Rhinolaya,"RHINOLAYA FORT, nosies purškalas, hipertoninis tirpalas, 50 ml",N/A,9.99
Medicata,"MEDICATA SALVEPROLIS, purškalas gerklei, 25 ml",N/A,6.76
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios tabletės, N20",N/A,7.26
Sinurin,"SINURIN ISOTONIC, purškalas, 30 ml",4.94,5.81
Heel,"ANGIN-HEEL S, tabletės, N50",N/A,6.56
VitaDay,"VITADAY MUKALTINAS, 10 tablečių",N/A,0.98
Faringospray,"FARINGOSPRAY, mėtų skonio purškalas su šaltalankiais ir medetkomis, 20 ml",N/A,6.35
Decatylen,"DECATYLEN NATURAL SPRAY, burnos ir gerklės purškalas, 20 ml",N/A,6.34
Umckalor,"UMCKALOR, 20 mg, plėvele dengtos tabletės, N15",N/A,9.51
Gripex,"GRIPEX THERMAL, 650/50/10 mg, milteliai geriamajam tirpalui, N8",N/A,6.27
Medicata,"MEDICATA APROPINUS, geriamasis tirpalas, 100 ml",N/A,6.16
Valentis,"IMUNITAL HOT DRINK, su imbieru ir citrina, 12 g, 5 vnt.",N/A,5.99
Acorus,"ACORUS BRONCHOHERBA, geriamasis skystis, 120 ml",5.77,7.69
Liugolis,"LIUGOLIS, 12,5 mg/ml, burnos gleivinės purškalas (tirpalas), 50 ml",N/A,3.27
Homeovox,"HOMEOVOX, dengtos tabletės, N60",N/A,5.72
Xymelin,"XYMELIN, 1 mg/ml, nosies lašai (tirpalas), 10 ml",N/A,4.05
Fervex,"FERVEX, granulės geriamajam tirpalui suaugusiems, N8",N/A,7.97
Fervex,"FERVEX, granulės geriamajam tirpalui vaikams, N8",N/A,7.97
Coldrex,"COLDREX MAXGRIP LEMON, 1000 mg/10 mg/40 mg, milteliai geriamajam tirpalui, N10",N/A,7.49
STRONG,"STRONG, purškalas išsausėjusiai skaudančiai gerklei, 20 ml",5.13,6.04
Olynth,"OLYNTH, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.09
Vocal,"VOCAL, citrinų skonio pastilės gerklei, N24",N/A,4.99
Miramile,"MIRAMILE, islandinės kerpenos ir eukalipto skonio pastilės, 12 pastilių",N/A,2.98
Inovox,"INOVOX MENTHOL, 2 mg/0,6 mg/1,2 mg, kietosios pastilės, N24",N/A,7.43
,"DELUFEN, nosies purškalas (tirpalas), 20 ml",N/A,7.19
Euphorbium,"EUPHORBIUM COMPOSITUM S, nosies purškalas (tirpalas), 20 ml",N/A,7.14
Inovox,"INOVOX ORANGE, 2 mg/0,6 mg/1,2 mg, kietosios pastilės, N24",N/A,7.43
Herbion,"HERBION, kietosios pastilės, N16",N/A,6.95
Vocal,"VOCAL, vyšnių skonio pastilės gerklei, N24",N/A,4.99
Rinosan propo,"RINOSAN mint izotoninis nosies purškalas su mentoliu ir eukalipto aliejumi, 30ml",5.94,6.99
Flavamed,"FLAVAMED, 15 mg/5 ml, geriamasis tirpalas, 100 ml",N/A,3.71
Olydex,"OLYDEX, 1 mg/50 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.52
Daleron Cold3,"DALERON COLD3, plėvele dengtos tabletės, N12",N/A,5.24
Coldrex,"COLDREX MAXGRIP LEMON, 1000 mg/10 mg/40 mg, milteliai geriamajam tirpalui, N5",N/A,4.67
Bronchonorm,"BRONCHONORM CAPS, 15 kapsulių",4.65,5.81
Fervex,"FERVEX, granulės geriamajam tirpalui suaugusiems, be cukraus, N8",N/A,8.55
Coldrex,"COLDREX HOTREM HONEY & LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N10",N/A,8.17
,"MUKALTIIN, tabeltės, N10",N/A,0.99
Strepsils,"STREPSILS VITAMIN C, 1,2 mg/0,6 mg/100 mg, kietosios pastilės, N24",N/A,7.66
Heel,"TARTEPHEDREEL N, geriamieji lašai (tirpalas), 30 ml",N/A,7.21
Isla,"ISLA GINGER, 30 pastilių",N/A,7.11
Medicata Filia,"PROPOKSIL MEDICATA, burnos ir gerklės purškalas, 25ml",N/A,6.99
Heel,"BRONCHALIS-HEEL, tabletės, N50",N/A,6.56
,"HADORTA, sirupas, 100 ml",N/A,6.40
Bromhexine-Grindeks,"BROMHEXINE-GRINDEKS, 8 mg, tabletės, N50",N/A,6.01
Theraflu,"THERAFLU ND, 1000 mg/60 mg/30 mg, milteliai geriamajam tirpalui, N6",N/A,5.57
Respifortin,"RESPIFORTIN, 600 mg, šnypščiosios tabletės, N10",N/A,5.54
Strepsils,"STREPHERBALTM ELDERBERRY & ECHINACEA MAISTO PAPILDAS SU SALDIKLIAIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI, 24 pastilės",N/A,7.49
Strepsils,"STREPHERBALTM HONEY FLAVOUR & LEMON BALM MAISTO PAPILDAS SU SALDIKLIAIS, PROPOLIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI, 24 pastilės.",N/A,7.49
Coldrex,"COLDREX HOTREM LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N5",N/A,4.84
Brontex,"BRONTEX, 60 mg, šnypščiosios tabletės, N10",N/A,4.79
Miramile,"MIRAMILE burnos gleivinės purškalas (tirpalas), 30 ml",N/A,4.82
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios granulės, N10",N/A,5.54
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios granulės, N20",N/A,9.72
Atmosil,"ATMOSIL BALSAM, skystas maisto papildas, 150ml",N/A,8.32
Bromhexine-Grindeks,"BROMHEXINE-GRINDEKS, 4 mg, tabletės, N50",N/A,5.09
Coldrex,"COLDREX, tabletės, N12",N/A,5.19
Coryzalia,"CORYZALIA, dengtos tabletės, N40",N/A,5.41
Faringo,"FARINGO SOFT, 20 pasitilių",N/A,6.89
Heel,"GRIPP-HEEL, tabletės, N50",N/A,6.56
Inovox,"INOVOX HONEY LEMON, 2mg/0,6mg/1,2mg, kietosios pastilės, N24",N/A,7.43
Laringospray,"LARINGOSPRAY, purškalas, 20 ml",N/A,6.35
PoloVox,"POLOVOX, 8,75 mg/dozėje, burnos gleivinės purškalas (tirpalas), 15 ml",N/A,9.01
Prospan,"PROSPAN, 35 mg/5 ml, geriamasis tirpalas, 5 ml, N21",N/A,9.44
Rhinolaya,"RHINOLAYA PROTECT, nosies purškalas, izotoninis, 50 ml",N/A,10.49
Himalaya,Himalaya Koflet H Ginger 2 x 6 pastilės,N/A,4.00
Heel,"PHOSPHOR-HOMACCORD, geriamieji lašai (tirpalas), 30 ml",N/A,N/A
Sterimar,"STERIMAR MICROSPRAY, purškalas, 50 ml",N/A,N/A
Silvanols,"SINUSTRONG SPRAY, purškalas, 20 ml",N/A,N/A
